epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8376,1.51677,3.03913,1.58024,0.0105,0.75452,0.13891,0.067,1.29137,2.92416,1.44526,0.00013336,0.00013336,0.00013336
2,13.6536,1.32109,2.41178,1.42044,0.95565,0.06126,0.25724,0.14931,1.34407,2.62801,1.54011,0.000277779,0.000277779,0.000277779
3,16.8376,1.21256,1.83171,1.35143,0.80227,0.23214,0.24568,0.14906,1.42427,2.39485,1.53141,0.000416257,0.000416257,0.000416257
4,19.8312,1.2078,1.64767,1.32856,0.78638,0.22345,0.25643,0.141,1.57245,2.25651,1.65627,0.000548793,0.000548793,0.000548793
5,24.7634,1.12686,1.56615,1.30642,0.77348,0.2619,0.3117,0.1561,1.51711,2.11585,1.70018,0.000675388,0.000675388,0.000675388
6,28.4615,1.16317,1.53076,1.32061,0.7567,0.25,0.30172,0.1572,1.51843,2.12659,1.65183,0.000796043,0.000796043,0.000796043
7,31.44,1.1338,1.5046,1.29694,0.82772,0.24405,0.41313,0.18794,1.54198,2.10084,1.66273,0.000910755,0.000910755,0.000910755
8,34.588,1.12332,1.42977,1.31171,0.61872,0.3299,0.35597,0.1533,1.58479,2.22912,1.73095,0.00101953,0.00101953,0.00101953
9,38.7049,1.17388,1.40857,1.29806,0.63836,0.30405,0.28868,0.10427,1.84576,2.43776,2.08262,0.00112236,0.00112236,0.00112236
10,42.303,1.16439,1.41011,1.2953,0.23199,0.42872,0.241,0.0958,1.79616,2.41097,1.99711,0.00121925,0.00121925,0.00121925
11,45.7782,1.12106,1.31767,1.26762,0.44598,0.38431,0.34829,0.15175,1.62025,2.13606,1.79935,0.0013102,0.0013102,0.0013102
12,49.3497,1.11191,1.2888,1.25358,0.37608,0.35381,0.2885,0.12011,1.76534,2.34973,1.92607,0.00130393,0.00130393,0.00130393
13,53.3551,1.09013,1.26228,1.26011,0.33941,0.43167,0.2992,0.13883,1.6769,2.19545,1.89878,0.00127092,0.00127092,0.00127092
14,57.8588,1.05042,1.25769,1.24339,0.40373,0.3819,0.32942,0.18259,1.52373,2.0523,1.69341,0.00123791,0.00123791,0.00123791
15,61.025,1.12435,1.27222,1.25071,0.34655,0.31976,0.27036,0.13529,1.71645,2.0291,1.86043,0.00120491,0.00120491,0.00120491
16,63.6599,1.04955,1.20472,1.22063,0.36285,0.39548,0.32978,0.15048,1.58414,1.87878,1.69482,0.0011719,0.0011719,0.0011719
17,68.0542,1.03548,1.21009,1.2155,0.32328,0.40702,0.32211,0.17411,1.53657,1.70481,1.68098,0.00113889,0.00113889,0.00113889
18,72.3425,1.0726,1.20781,1.22654,0.42261,0.36757,0.3435,0.17967,1.60752,1.78211,1.74162,0.00110589,0.00110589,0.00110589
19,75.4513,1.08305,1.19077,1.2322,0.33491,0.42786,0.28713,0.1468,1.67918,2.09387,1.76281,0.00107288,0.00107288,0.00107288
20,78.4335,1.00244,1.13265,1.17823,0.49278,0.36648,0.3688,0.21026,1.57885,1.90825,1.63905,0.00103987,0.00103987,0.00103987
21,81.3475,1.01583,1.12075,1.18587,0.41352,0.51762,0.38463,0.21427,1.40769,1.70556,1.53487,0.00100687,0.00100687,0.00100687
